Date,SPX
31/12/2011,269.6108787
31/01/2012,281.3613464
29/02/2012,292.7816527
31/03/2012,301.9551795
30/04/2012,299.6912848
31/05/2012,280.9154084
30/06/2012,292.0270123
31/07/2012,295.7058443
31/08/2012,301.5499882
30/09/2012,308.8584
31/10/2012,302.7462746
30/11/2012,303.6081075
31/12/2012,305.7540796
31/01/2013,321.1726758
28/02/2013,324.7250541
31/03/2013,336.4111696
30/04/2013,342.4954239
31/05/2013,349.6065919
30/06/2013,344.3627372
31/07/2013,361.3956344
31/08/2013,350.084667
30/09/2013,360.4995189
31/10/2013,376.5762662
30/11/2013,387.1390315
31/12/2013,396.2611078
31/01/2014,382.1609862
28/02/2014,398.6386329
31/03/2014,401.4020619
30/04/2014,403.8910714
31/05/2014,412.3850137
30/06/2014,420.2443841
31/07/2014,413.90717
31/08/2014,429.4929668
30/09/2014,422.8298828
31/10/2014,432.6401537
30/11/2014,443.2543693
31/12/2014,441.3977595
31/01/2015,427.6964173
28/02/2015,451.1737476
31/03/2015,443.3250809
30/04/2015,447.102574
31/05/2015,451.7932981
30/06/2015,442.3003653
31/07/2015,451.0322722
31/08/2015,422.8063036
30/09/2015,411.6261078
31/10/2015,445.7841255
30/11/2015,446.0091882
31/12/2015,438.1905646
31/01/2016,415.9588252
29/02/2016,414.2415972
31/03/2016,441.5778619
30/04/2016,442.7698565
31/05/2016,449.5551285
30/06/2016,449.9646378
31/07/2016,465.9877891
31/08/2016,465.4196366
30/09/2016,464.845099
31/10/2016,455.8151672
30/11/2016,471.3924327
31/12/2016,479.9721343
31/01/2017,488.5561279
28/02/2017,506.729517
31/03/2017,506.5322993
30/04/2017,511.1372901
31/05/2017,517.0543439
30/06/2017,519.5433272
31/07/2017,529.5958807
31/08/2017,529.8852692
30/09/2017,540.1136332
31/10/2017,552.0977476
30/11/2017,567.6021031
31/12/2017,573.1825572
31/01/2018,605.3832107
28/02/2018,581.8051256
31/03/2018,566.1635865
30/04/2018,567.7028579
31/05/2018,579.9699754
